timestamp,actor,action,target_type,target_id,ip_address
2025-05-22 22:35:46,omar,VIEW_TXN,chargeback,CB000032,89.122.103.16
2025-06-03 09:18:39,ops_1,VIEW_PII,merchant,CB000003,126.182.113.147
2025-08-03 09:08:27,ops_1,EXPORT_CSV,payout,M00093,206.17.190.36
2025-06-09 21:31:44,ops_2,CHANGE_ROLE,customer,PXXXXXXX,92.5.126.227
2025-06-18 20:56:13,hashem,VIEW_TXN,customer,C003886,215.117.238.161
2025-08-22 05:46:34,hashem,LOGIN,customer,PXXXXXXX,247.32.189.173
2025-07-17 19:37:43,ops_2,CREATE_PAYOUT,user,PXXXXXXX,204.69.24.17
2025-05-10 19:31:29,risk_analyst_1,LOGIN,chargeback,C000281,245.225.204.172
2025-08-21 22:53:49,ops_1,ISSUE_REFUND,api_key,T0007101,60.209.254.73
2025-05-12 23:08:17,zaid,LOGIN,user,T0004759,249.191.175.61
2025-08-05 00:30:27,hashem,VIEW_PII,api_key,PXXXXXXX,22.150.232.228
2025-07-01 03:09:51,hashem,VIEW_TXN,merchant,C001072,112.11.78.1
2025-06-08 05:13:31,hashem,LOGIN,user,M00119,221.66.1.105
2025-08-25 15:48:24,hashem,UPDATE_MERCHANT,chargeback,CB000011,186.201.36.103
2025-07-23 02:40:13,zaid,EXPORT_CSV,txn,T0010040,159.223.109.165
2025-05-23 14:45:29,ops_1,CREATE_PAYOUT,payout,PXXXXXXX,161.37.127.19
2025-05-30 01:48:07,ops_1,CLOSE_CHARGEBACK,merchant,M00073,91.237.251.115
2025-06-08 12:55:39,risk_analyst_1,VIEW_TXN,txn,T0002773,43.116.183.168
2025-07-19 17:22:11,support_1,VIEW_TXN,user,PXXXXXXX,34.8.66.110
2025-05-16 05:43:47,zaid,SUBMIT_REPRESENTMENT,api_key,C002845,195.19.81.245
2025-05-19 21:09:36,ops_2,SUBMIT_REPRESENTMENT,merchant,CB000036,161.187.96.129
2025-08-11 05:38:25,omar,LOGIN,user,T0009946,94.195.236.247
2025-07-21 12:41:36,finance_1,EXPORT_CSV,user,C005149,81.81.241.60
2025-05-21 03:52:49,ops_1,UPDATE_MERCHANT,customer,C000191,6.17.156.106
2025-06-16 19:54:13,omar,SUBMIT_REPRESENTMENT,txn,M00097,181.71.41.199
2025-08-11 14:47:37,ops_1,VIEW_TXN,user,T0002252,218.252.157.8
2025-08-03 21:48:30,support_1,EXPORT_CSV,txn,CB000058,168.232.117.38
2025-06-10 13:37:37,finance_1,CHANGE_ROLE,chargeback,C000490,187.111.15.5
2025-07-27 23:53:12,ops_2,VIEW_TXN,user,M00011,26.165.117.123
2025-08-01 08:16:34,zaid,VIEW_PII,merchant,C001041,9.106.144.26
2025-08-21 19:51:54,ops_2,VIEW_TXN,user,C005617,53.240.134.204
2025-06-01 21:12:43,hashem,VIEW_TXN,user,T0001676,225.153.42.83
2025-08-17 10:36:37,support_1,EXPORT_CSV,merchant,PXXXXXXX,235.241.18.44
2025-08-21 12:51:24,zaid,CHANGE_ROLE,merchant,M00052,130.22.119.239
2025-05-04 12:43:12,finance_1,VIEW_TXN,user,PXXXXXXX,220.156.133.43
2025-08-26 20:50:29,support_1,VIEW_TXN,chargeback,CB000016,75.83.110.104
2025-06-06 21:48:37,ops_2,VIEW_TXN,api_key,PXXXXXXX,166.38.134.73
2025-07-13 10:48:41,risk_analyst_1,VIEW_TXN,chargeback,PXXXXXXX,30.141.143.181
2025-06-03 06:59:35,finance_1,VIEW_TXN,customer,C003385,229.168.67.42
2025-05-11 16:45:36,hashem,SUBMIT_REPRESENTMENT,api_key,T0008534,126.201.3.176
2025-05-21 17:07:16,hashem,SUBMIT_REPRESENTMENT,api_key,T0008546,31.54.155.69
2025-06-09 10:27:16,risk_analyst_1,CHANGE_ROLE,customer,T0008798,236.231.65.218
2025-08-20 21:43:05,omar,SUBMIT_REPRESENTMENT,merchant,T0003247,71.134.128.155
2025-07-20 01:53:37,omar,UPDATE_MERCHANT,txn,C002809,226.141.112.22
2025-06-13 18:07:26,omar,SUBMIT_REPRESENTMENT,customer,CB000061,13.9.181.34
2025-06-28 12:58:01,risk_analyst_1,CREATE_PAYOUT,payout,CB000019,199.138.33.65
2025-06-27 13:51:41,omar,CLOSE_CHARGEBACK,user,CB000051,216.98.182.250
2025-06-07 07:19:05,omar,CHANGE_ROLE,chargeback,C005285,108.105.130.143
2025-06-03 11:59:04,omar,LOGIN,chargeback,M00013,65.69.29.205
2025-05-30 18:52:55,finance_1,VIEW_TXN,merchant,M00049,217.224.239.160
2025-06-18 06:08:21,support_1,VIEW_TXN,merchant,T0004937,180.148.104.215
2025-07-20 21:28:35,risk_analyst_1,CLOSE_CHARGEBACK,chargeback,T0007059,87.33.203.189
2025-07-08 03:14:11,omar,LOGIN,api_key,CB000026,74.64.141.133
2025-05-12 20:42:00,ops_2,LOGIN,user,CB000030,67.71.95.51
2025-05-16 20:55:16,ops_1,UPDATE_MERCHANT,merchant,CB000075,177.104.215.2
2025-06-06 12:02:59,hashem,LOGIN,payout,CB000026,193.234.71.91
2025-07-24 17:45:13,risk_analyst_1,LOGIN,customer,PXXXXXXX,8.26.28.37
2025-05-30 12:58:09,ops_2,UPDATE_MERCHANT,merchant,T0004459,125.184.90.158
2025-07-17 09:06:24,ops_1,LOGIN,payout,C002305,143.57.92.31
2025-06-12 22:50:59,ops_2,EXPORT_CSV,payout,T0004693,82.95.50.144
2025-08-15 15:41:17,finance_1,ISSUE_REFUND,txn,M00034,28.249.214.36
2025-07-27 16:11:40,risk_analyst_1,UPDATE_MERCHANT,customer,T0009866,126.140.164.231
2025-06-16 11:20:05,risk_analyst_1,VIEW_TXN,api_key,T0002940,31.45.36.214
2025-06-24 13:05:28,zaid,VIEW_TXN,customer,T0008053,43.47.185.83
2025-05-21 09:56:52,support_1,LOGIN,merchant,PXXXXXXX,19.49.228.145
2025-07-28 00:39:54,hashem,VIEW_TXN,user,M00022,218.238.104.141
2025-06-20 10:42:23,support_1,LOGIN,merchant,C001384,110.56.129.92
2025-08-22 06:18:53,finance_1,LOGIN,chargeback,CB000023,160.112.236.14
2025-06-01 00:49:04,ops_1,VIEW_TXN,merchant,PXXXXXXX,137.153.131.150
2025-07-31 05:46:33,ops_2,LOGIN,txn,T0004032,77.33.111.125
2025-06-23 13:42:40,risk_analyst_1,EXPORT_CSV,merchant,CB000063,151.168.91.118
2025-07-18 12:44:03,hashem,CLOSE_CHARGEBACK,chargeback,C004168,1.153.233.12
2025-08-02 23:27:10,finance_1,VIEW_TXN,chargeback,C001316,186.173.229.65
2025-08-22 22:37:35,ops_2,CREATE_PAYOUT,payout,C006821,123.89.27.172
2025-07-14 23:13:05,hashem,VIEW_TXN,user,M00017,217.80.43.114
2025-07-07 18:39:28,risk_analyst_1,LOGIN,merchant,CB000034,228.51.21.205
