txn_id,created_at,merchant_id,customer_id,mcc,amount,currency,amount_usd,status,payment_method,card_brand,card_last4,country,city,risk_score,auth_code,fee_rate_percent,fixed_fee_cents,fee_total_usd,processor_cost_usd,net_revenue_usd,net_settlement_usd,settlement_batch_id
T0000001,2025-05-16 19:29:35,M00045,C006409,6012,234.91,SAR,62.49,succeeded,card,Visa,8720,CA,Montreal,0.1,6Z4UP2,2.49,20,1.76,0.82,0.94,60.73,SB20250516-005
T0000002,2025-05-09 03:57:42,M00116,C002010,5999,53.76,SAR,14.3,succeeded,google_pay,Mastercard,7807,NL,Rotterdam,0.22,XANZ5D,2.86,30,0.71,0.24,0.47,13.59,SB20250509-001
T0000003,2025-05-12 21:12:34,M00053,C000884,6012,464.77,USD,464.77,succeeded,google_pay,Visa,6913,CA,Vancouver,0.21,1FBP2L,2.36,40,11.37,5.65,5.72,453.4,SB20250512-002
T0000004,2025-05-25 13:48:13,M00077,C002064,4812,95.74,USD,95.74,succeeded,card,Discover,3492,DE,Hamburg,0.12,REZL5I,2.6,35,2.84,1.22,1.62,92.9,SB20250525-005
T0000005,2025-05-10 20:51:16,M00049,C007975,5734,44.3,TRY,1.33,succeeded,card,mada,2392,JO,Zarqa,0.09,G6DBH8,3.14,35,0.39,0.09,0.3,0.94,SB20250510-003
T0000006,2025-05-23 06:55:41,M00045,C001594,6012,619.3,AED,168.45,succeeded,card,Mastercard,6257,US,Austin,0.0,5Y8L53,2.49,20,4.39,2.09,2.3,164.06,SB20250523-004
T0000007,2025-05-03 15:16:27,M00009,C002317,6012,568.51,EUR,619.68,failed,card,Visa,1394,CA,Montreal,0.12,Q6SV7T,2.48,30,15.67,7.51,8.16,0.0,SB20250503-001
T0000008,2025-05-14 22:34:09,M00030,C002812,5812,17.28,CAD,12.61,succeeded,card,Visa,0359,NL,Utrecht,0.09,JG95AU,2.57,10,0.42,0.22,0.2,12.19,SB20250514-003
T0000009,2025-05-17 08:46:59,M00014,C004053,5732,155.67,JOD,219.49,succeeded,card,Visa,3114,US,SF,0.03,6UL017,2.12,25,4.9,2.7,2.2,214.59,SB20250517-003
T0000010,2025-05-09 05:47:03,M00006,C006269,6012,232.71,JOD,328.12,succeeded,bank_transfer,Visa,1144,DE,Munich,0.21,Y4JOIH,2.24,20,7.55,4.01,3.54,320.57,SB20250509-005
