payout_id,merchant_id,created_at,amount_usd,status,method,bank_account_last4,settlement_batches,payout_fee_usd
PM000016540582,M00001,2025-04-28,583.65,processing,ach,4841,"SB20250501-002,SB20250504-003",0.58
PM000013133984,M00001,2025-05-05,699.2,paid,ach,6534,"SB20250506-002,SB20250507-001,SB20250507-005,SB20250511-005",0.7
PM000011675920,M00001,2025-05-12,1603.4,paid,swift,1591,"SB20250512-003,SB20250512-005,SB20250513-001,SB20250513-005,SB20250514-001,SB20250515-003,SB20250517-002",1.6
PM000013893026,M00001,2025-05-19,842.47,initiated,ach,2591,"SB20250521-004,SB20250523-002,SB20250523-005",0.84
PM000010718395,M00001,2025-05-26,778.35,paid,wire,0842,"SB20250526-001,SB20250528-003",0.78
PM000019109618,M00001,2025-06-02,1787.57,processing,swift,5134,"SB20250602-002,SB20250602-003,SB20250603-004,SB20250603-005,SB20250604-003,SB20250605-002,SB20250606-002,SB20250607-002",1.79
PM000013444589,M00001,2025-06-09,244.54,processing,ach,3615,SB20250613-004,0.5
PM000012926031,M00001,2025-06-16,955.94,paid,wire,5798,"SB20250616-001,SB20250616-002,SB20250622-005",0.96
PM000013410312,M00001,2025-06-23,3364.8,paid,sepa,4165,"SB20250623-004,SB20250624-004,SB20250625-001,SB20250626-001,SB20250626-002,SB20250626-003,SB20250627-003,SB20250628-004",3.36
PM000010137985,M00001,2025-06-30,3406.9,paid,sepa,4951,"SB20250701-001,SB20250701-002,SB20250701-003,SB20250704-005",3.41
PM000015723700,M00001,2025-07-07,1153.97,paid,swift,2895,"SB20250707-005,SB20250708-004,SB20250709-001,SB20250710-005,SB20250711-001,SB20250712-001",1.15
PM000012601838,M00001,2025-07-14,1740.41,paid,swift,8832,"SB20250718-003,SB20250719-001,SB20250720-005",1.74
PM000015319724,M00001,2025-07-21,582.57,processing,ach,1734,SB20250726-005,0.58
PM000013828915,M00001,2025-07-28,1031.82,failed,swift,6923,SB20250802-003,1.03
PM000011362661,M00001,2025-08-04,5288.71,paid,wire,2660,"SB20250804-001,SB20250804-003,SB20250804-005,SB20250806-001,SB20250807-001,SB20250807-002,SB20250807-003,SB20250809-005,SB20250810-002",5.29
PM000017762533,M00001,2025-08-11,1715.03,paid,sepa,5329,"SB20250811-003,SB20250811-004,SB20250812-003,SB20250816-001,SB20250816-003,SB20250817-002",1.72
PM000017794728,M00001,2025-08-18,2605.79,paid,swift,2516,"SB20250818-002,SB20250820-001,SB20250820-004,SB20250821-005,SB20250823-001,SB20250824-001",2.61
PM000013560048,M00001,2025-08-25,536.88,processing,ach,8292,"SB20250826-002,SB20250828-004,SB20250828-005",0.54
PM000023805288,M00002,2025-05-05,144.65,initiated,ach,9365,"SB20250508-005,SB20250509-004,SB20250509-005",0.5
PM000023799567,M00002,2025-05-12,129.02,processing,wire,8676,"SB20250512-004,SB20250513-002,SB20250515-001,SB20250515-004,SB20250515-005,SB20250516-004,SB20250517-002",0.5
PM000026505370,M00002,2025-05-19,21.55,paid,ach,0878,"SB20250519-004,SB20250522-003,SB20250523-005",0.5
PM000028473914,M00002,2025-05-26,43.83,paid,ach,7467,"SB20250527-001,SB20250601-003",0.5
PM000028318351,M00002,2025-06-02,219.8,paid,ach,7912,"SB20250603-005,SB20250604-001,SB20250605-003,SB20250606-001,SB20250608-002,SB20250608-003",0.5
PM000023494683,M00002,2025-06-09,94.92,paid,ach,8510,"SB20250609-001,SB20250611-005,SB20250612-002,SB20250612-005",0.5
PM000029686313,M00002,2025-06-16,86.53,processing,ach,2870,"SB20250617-003,SB20250617-004,SB20250619-002,SB20250621-003",0.5
PM000028713335,M00002,2025-06-23,71.96,paid,ach,4395,"SB20250624-004,SB20250625-002,SB20250625-004,SB20250626-005",0.5
PM000027566841,M00002,2025-06-30,56.43,paid,ach,1983,"SB20250702-001,SB20250704-003,SB20250706-001",0.5
PM000023600053,M00002,2025-07-07,179.39,paid,sepa,8209,"SB20250707-001,SB20250708-002,SB20250710-004,SB20250711-003",0.5
PM000020030694,M00002,2025-07-14,68.06,paid,wire,9154,"SB20250714-003,SB20250714-004,SB20250719-003,SB20250720-004",0.5
